PAIS;POL;SERVICIO - VIA;POD; W/M ; BAF W/M ; MINIMO ;FRECUENCIA;TT APROX;
GRECIA;PIREAUS;AMBERES;CARTAGENA;102;10;125;QUINCENAL;22;
GRECIA;THESSALONIKI;AMBERES;CARTAGENA;122;10;150;QUINCENAL;24;
HOLANDA;ROTTERDAM;AMBERES;CARTAGENA;37;10;115;QUINCENAL;18;
ITALIA;GENOVA;DIRECTO;CARTAGENA;25;10;40;SEMANAL;15;
NORUEGA;OSLO;HAMBURGO;CARTAGENA;78;10;180;SEMANAL;22;
POLONIA;GDYNIA;HAMBURGO;CARTAGENA;83;10;175;SEMANAL;22;
POLONIA;WARSAW;HAMBURGO;CARTAGENA;83;10;160;SEMANAL;22;
PORTUGAL;LEIXOES;BARCELONA;CARTAGENA;57;10;80;SEMANAL;21;
PORTUGAL;LISBOA;BARCELONA;CARTAGENA;57;10;80;SEMANAL;21;
REPUBLICA CHECA;PRAGUE;HAMBURGO;CARTAGENA;83;10;130;SEMANAL;27;
SUECIA;GOTHENBURG;HAMBURGO;CARTAGENA;68;10;160;SEMANAL;26;
SUECIA;STOCKHOLM ;HAMBURGO;CARTAGENA;75;10;100;SEMANAL;24;
SUECIA;MALMOE;HAMBURGO;CARTAGENA;68;10;135;SEMANAL;24;
SUIZA;BASILEA / PRATEL;AMBERES;CARTAGENA;83;10;120;QUINCENAL;18;
TURQUIA;ESTAMBUL;AMBERES;CARTAGENA;73;10;125;QUINCENAL;37;
TURQUIA;ESTAMBUL;BARCELONA;CARTAGENA;71;10;115;SEMANAL;40;
TURQUIA;IZMIR;BARCELONA;CARTAGENA;124;10;145;SEMANAL;40;
TURQUIA;MERSIN;BARCELONA;CARTAGENA;115;10;145;SEMANAL;40;
UK;TILBURY;DIRECTO;CARTAGENA;30;10;80;QUINCENAL;15;
BANGLADESH;CHITTAGONG;VIA SINGAPORE / BUSAN;BUENAVENTURA;71;0;71;SEMANAL;52;
BRASIL;RIO DE JANEIRO;SANTOS;CARTAGENA;18;10;40;SEMANAL;14;
BRASIL;RIO GRANDE;SANTOS;CARTAGENA;22;10;50;SEMANAL;14;
BRASIL;BELO HORIZONTE;SANTOS;CARTAGENA;18;10;50;SEMANAL;17;
BRASIL;CURITIBA; SANTOS;CARTAGENA;22;10;50;SEMANAL;14;
BRASIL;ITAJAI;SANTOS;CARTAGENA;18;10;50;SEMANAL;16;
BRASIL;SANTOS;DIRECTO;CARTAGENA;3;5;30;SEMANAL;13;
BRASIL;RIO DE JANEIRO;SANTOS y MANZANILLO, PA;BUENAVENTURA;67;10;120;QUINCENAL;26
